Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 112",peel,"peel the egg",,"한글 번역 없음"
"Day 112",peel,"peel the onion",,"한글 번역 없음"
"Day 112",peel,"peel the orange",,"한글 번역 없음"
"Day 112",peel,"peel the peach",,"한글 번역 없음"
"Day 112",peel,"peel the potato",,"한글 번역 없음"
"Day 112",chop,"I chop the cabbage",,"한글 번역 없음"
"Day 112",chop,"chop the cabbage",,"한글 번역 없음"
"Day 112",chop,"chop the carrots",,"한글 번역 없음"
"Day 112",chop,"chop the cucumbers",,"한글 번역 없음"
"Day 112",chop,"chop the herbs",,"한글 번역 없음"
"Day 112",chop,"chop the onions",,"한글 번역 없음"
"Day 112",chop,"chop the potatoes",,"한글 번역 없음"
"Day 112",chop,"chop the spinach",,"한글 번역 없음"
"Day 112",slice,"I slice thinly",,"한글 번역 없음"
"Day 112",slice,"slice diagonally",,"한글 번역 없음"
"Day 112",slice,"slice evenly",,"한글 번역 없음"
"Day 112",slice,"slice finely",,"한글 번역 없음"
"Day 112",slice,"slice horizontally",,"한글 번역 없음"
"Day 112",slice,"slice thickly",,"한글 번역 없음"
"Day 112",slice,"slice thinly",,"한글 번역 없음"
"Day 112",slice,"slice vertically",,"한글 번역 없음"
"Day 113",boil,"I boil the soup",,"한글 번역 없음"
"Day 113",boil,"boil the eggs",,"한글 번역 없음"
"Day 113",boil,"boil the noodles",,"한글 번역 없음"
"Day 113",boil,"boil the pasta",,"한글 번역 없음"
"Day 113",boil,"boil the potatoes",,"한글 번역 없음"
"Day 113",boil,"boil the sauce",,"한글 번역 없음"
"Day 113",boil,"boil the soup",,"한글 번역 없음"
"Day 113",boil,"boil the water",,"한글 번역 없음"
"Day 113",add,"I add the salt",,"한글 번역 없음"
"Day 113",add,"add the egg",,"한글 번역 없음"
"Day 113",add,"add the flour",,"한글 번역 없음"
"Day 113",add,"add the juice",,"한글 번역 없음"
"Day 113",add,"add the milk",,"한글 번역 없음"
"Day 113",add,"add the salt",,"한글 번역 없음"
"Day 113",add,"add the sugar",,"한글 번역 없음"
"Day 113",add,"add the water",,"한글 번역 없음"
"Day 113",stir,"I stir the soup",,"한글 번역 없음"
"Day 113",stir,"stir the coffee",,"한글 번역 없음"
"Day 113",stir,"stir the milk",,"한글 번역 없음"
"Day 113",stir,"stir the mixture",,"한글 번역 없음"
"Day 113",stir,"stir the rice",,"한글 번역 없음"
"Day 113",stir,"stir the sauce",,"한글 번역 없음"
"Day 113",stir,"stir the soup",,"한글 번역 없음"
"Day 113",stir,"stir the water",,"한글 번역 없음"
"Day 114",cook,"I cook the food",,"한글 번역 없음"
"Day 114",cook,"cook breakfast",,"한글 번역 없음"
"Day 114",cook,"cook dinner",,"한글 번역 없음"
"Day 114",cook,"cook lunch",,"한글 번역 없음"
"Day 114",cook,"cook the food",,"한글 번역 없음"
"Day 114",cook,"cook the sausage",,"한글 번역 없음"
"Day 114",cook,"cook the spaghetti",,"한글 번역 없음"
"Day 114",cook,"cook the steak",,"한글 번역 없음"
"Day 114",taste,"I taste the food",,"한글 번역 없음"
"Day 114",taste,"taste the bread",,"한글 번역 없음"
"Day 114",taste,"taste the cake",,"한글 번역 없음"
"Day 114",taste,"taste the food",,"한글 번역 없음"
"Day 114",taste,"taste the ice cream",,"한글 번역 없음"
"Day 114",taste,"taste the pasta",,"한글 번역 없음"
"Day 114",taste,"taste the sauce",,"한글 번역 없음"
"Day 114",taste,"taste the soup",,"한글 번역 없음"
"Day 114",serve,"I serve the soup",,"한글 번역 없음"
"Day 114",serve,"serve the coffee",,"한글 번역 없음"
"Day 114",serve,"serve the community",,"한글 번역 없음"
"Day 114",serve,"serve the country",,"한글 번역 없음"
"Day 114",serve,"serve the drink",,"한글 번역 없음"
"Day 114",serve,"serve the food",,"한글 번역 없음"
"Day 114",serve,"serve the meal",,"한글 번역 없음"
"Day 114",serve,"serve the soup",,"한글 번역 없음"
"Day 115",bake,"I bake the bread",,"한글 번역 없음"
"Day 115",bake,"bake the banana",,"한글 번역 없음"
"Day 115",bake,"bake the bread",,"한글 번역 없음"
"Day 115",bake,"bake the cake",,"한글 번역 없음"
"Day 115",bake,"bake the cookies",,"한글 번역 없음"
"Day 115",bake,"bake the pastry",,"한글 번역 없음"
"Day 115",bake,"bake the pies",,"한글 번역 없음"
"Day 115",bake,"bake the potatoes",,"한글 번역 없음"
"Day 115",make,"I make a cake",,"한글 번역 없음"
"Day 115",make,"make a cake 278",,"한글 번역 없음"
"Day 115",make,"make a pizza",,"한글 번역 없음"
"Day 115",make,"make a soup",,"한글 번역 없음"
"Day 115",make,"make bread",,"한글 번역 없음"
"Day 115",make,"make coffee",,"한글 번역 없음"
"Day 115",make,"make tea",,"한글 번역 없음"
"Day 115",make,"make wine",,"한글 번역 없음"
"Day 115",grill,"I grill the steak",,"한글 번역 없음"
"Day 115",grill,"grill the beef",,"한글 번역 없음"
"Day 115",grill,"grill the chicken",,"한글 번역 없음"
"Day 115",grill,"grill the fish",,"한글 번역 없음"
"Day 115",grill,"grill the meat",,"한글 번역 없음"
"Day 115",grill,"grill the pork",,"한글 번역 없음"
"Day 115",grill,"grill the sausage",,"한글 번역 없음"
"Day 115",grill,"grill the steak",,"한글 번역 없음"
"Day 116",slice,"I slice the bread",,"한글 번역 없음"
"Day 116",slice,"slice the bread",,"한글 번역 없음"
"Day 116",slice,"slice the cheese",,"한글 번역 없음"
"Day 116",slice,"slice the cucumber",,"한글 번역 없음"
"Day 116",slice,"slice the garlic",,"한글 번역 없음"
"Day 116",slice,"slice the potato",,"한글 번역 없음"
"Day 116",slice,"slice the radish",,"한글 번역 없음"
"Day 116",slice,"slice the tomato",,"한글 번역 없음"
"Day 116",spread,"I spread the butter",,"한글 번역 없음"
"Day 116",spread,"spread the arms",,"한글 번역 없음"
"Day 116",spread,"spread the butter",,"한글 번역 없음"
"Day 116",spread,"spread the cream",,"한글 번역 없음"
"Day 116",spread,"spread the jam",,"한글 번역 없음"
"Day 116",spread,"spread the news",,"한글 번역 없음"
"Day 116",spread,"spread the sauce",,"한글 번역 없음"
"Day 116",spread,"spread the wings",,"한글 번역 없음"
"Day 116",melt,"I melt the butter",,"한글 번역 없음"
"Day 116",melt,"melt the butter",,"한글 번역 없음"
"Day 116",melt,"melt the cheese",,"한글 번역 없음"
"Day 116",melt,"melt the chocolate",,"한글 번역 없음"
"Day 116",melt,"melt the cold",,"한글 번역 없음"
"Day 116",melt,"melt the hearts",,"한글 번역 없음"
"Day 116",melt,"melt the ice",,"한글 번역 없음"
"Day 116",melt,"melt the sugar",,"한글 번역 없음"
"Day 117",wash,"I wash the apple",,"한글 번역 없음"
"Day 117",wash,"wash the apple",,"한글 번역 없음"
"Day 117",wash,"wash the carrot",,"한글 번역 없음"
"Day 117",wash,"wash the fruit",,"한글 번역 없음"
"Day 117",wash,"wash the grape",,"한글 번역 없음"
"Day 117",wash,"wash the potato",,"한글 번역 없음"
"Day 117",wash,"wash the tomato",,"한글 번역 없음"
"Day 117",wash,"wash the vegetables",,"한글 번역 없음"
"Day 117",mix,"I mix the fruits",,"한글 번역 없음"
"Day 117",mix,"mix the colors",,"한글 번역 없음"
"Day 117",mix,"mix the fruits",,"한글 번역 없음"
"Day 117",mix,"mix the paints",,"한글 번역 없음"
"Day 117",mix,"mix the rice",,"한글 번역 없음"
"Day 117",mix,"mix the salad",,"한글 번역 없음"
"Day 117",mix,"mix the sauce",,"한글 번역 없음"
"Day 117",mix,"mix the water",,"한글 번역 없음"
"Day 117",try,"I try the salad",,"한글 번역 없음"
"Day 117",try,"try the cake",,"한글 번역 없음"
"Day 117",try,"try the drink",,"한글 번역 없음"
"Day 117",try,"try the fish",,"한글 번역 없음"
"Day 117",try,"try the juice",,"한글 번역 없음"
"Day 117",try,"try the milk",,"한글 번역 없음"
"Day 117",try,"try the pasta",,"한글 번역 없음"
"Day 117",try,"try the salad",,"한글 번역 없음"
"Day 118",set,"I set the table",,"한글 번역 없음"
"Day 118",set,"set the date",,"한글 번역 없음"
"Day 118",set,"set the goal",,"한글 번역 없음"
"Day 118",set,"set the limit",,"한글 번역 없음"
"Day 118",set,"set the price",,"한글 번역 없음"
"Day 118",set,"set the rule",,"한글 번역 없음"
"Day 118",set,"set the stage",,"한글 번역 없음"
"Day 118",set,"set the table",,"한글 번역 없음"
"Day 118",bring,"I bring the fork",,"한글 번역 없음"
"Day 118",bring,"bring the bag",,"한글 번역 없음"
"Day 118",bring,"bring the book",,"한글 번역 없음"
"Day 118",bring,"bring the camera",,"한글 번역 없음"
"Day 118",bring,"bring the car",,"한글 번역 없음"
"Day 118",bring,"bring the fork",,"한글 번역 없음"
"Day 118",bring,"bring the spoon",,"한글 번역 없음"
"Day 118",bring,"bring the umbrella",,"한글 번역 없음"
"Day 118",carry,"I carry the food",,"한글 번역 없음"
"Day 118",carry,"carry the bread",,"한글 번역 없음"
"Day 118",carry,"carry the cup",,"한글 번역 없음"
"Day 118",carry,"carry the dishes",,"한글 번역 없음"
"Day 118",carry,"carry the food",,"한글 번역 없음"
"Day 118",carry,"carry the plates",,"한글 번역 없음"
"Day 118",carry,"carry the trash",,"한글 번역 없음"
"Day 118",carry,"carry water",,"한글 번역 없음"
"Day 119",spill,"I spill the water",,"한글 번역 없음"
"Day 119",spill,"spill the coffee",,"한글 번역 없음"
"Day 119",spill,"spill the drink",,"한글 번역 없음"
"Day 119",spill,"spill the juice",,"한글 번역 없음"
"Day 119",spill,"spill the milk",,"한글 번역 없음"
"Day 119",spill,"spill the soup",,"한글 번역 없음"
"Day 119",spill,"spill the tea",,"한글 번역 없음"
"Day 119",spill,"spill the water",,"한글 번역 없음"
"Day 119",drop,"I drop the spoon",,"한글 번역 없음"
"Day 119",drop,"drop the chopsticks",,"한글 번역 없음"
"Day 119",drop,"drop the cup",,"한글 번역 없음"
"Day 119",drop,"drop the fork",,"한글 번역 없음"
"Day 119",drop,"drop the knife",,"한글 번역 없음"
"Day 119",drop,"drop the mic",,"한글 번역 없음"
"Day 119",drop,"drop the phone",,"한글 번역 없음"
"Day 119",drop,"drop the spoon",,"한글 번역 없음"
"Day 119",hide,"I hide the mistake",,"한글 번역 없음"
"Day 119",hide,"hide the anger",,"한글 번역 없음"
"Day 119",hide,"hide the evidence",,"한글 번역 없음"
"Day 119",hide,"hide the fear",,"한글 번역 없음"
"Day 119",hide,"hide the mistake",,"한글 번역 없음"
"Day 119",hide,"hide the pain",,"한글 번역 없음"
"Day 119",hide,"hide the sadness",,"한글 번역 없음"
"Day 119",hide,"hide the tears",,"한글 번역 없음"
"Day 120",take,"I take a meal",,"한글 번역 없음"
"Day 120",take,"take a bite",,"한글 번역 없음"
"Day 120",take,"take a drink",,"한글 번역 없음"
"Day 120",take,"take a meal",,"한글 번역 없음"
"Day 120",take,"take a sip",,"한글 번역 없음"
"Day 120",take,"take a smell",,"한글 번역 없음"
"Day 120",take,"take a snack",,"한글 번역 없음"
"Day 120",take,"take a taste",,"한글 번역 없음"
"Day 120",cut,"I cut the bread",,"한글 번역 없음"
"Day 120",cut,"cut the banana",,"한글 번역 없음"
"Day 120",cut,"cut the bread",,"한글 번역 없음"
"Day 120",cut,"cut the cake",,"한글 번역 없음"
"Day 120",cut,"cut the hamburger",,"한글 번역 없음"
"Day 120",cut,"cut the meat",,"한글 번역 없음"
"Day 120",cut,"cut the pizza",,"한글 번역 없음"
"Day 120",cut,"cut the steak",,"한글 번역 없음"
"Day 120",chew,"I chew the food",,"한글 번역 없음"
"Day 120",chew,"chew the food",,"한글 번역 없음"
"Day 120",chew,"chew the gum",,"한글 번역 없음"
"Day 120",chew,"chew the meat",,"한글 번역 없음"
"Day 120",chew,"chew the pork",,"한글 번역 없음"
"Day 120",chew,"chew the rice",,"한글 번역 없음"
"Day 120",chew,"chew the snack",,"한글 번역 없음"
"Day 120",chew,"chew the vegetables",,"한글 번역 없음"
"Day 121",bring,"I bring my lunch",,"한글 번역 없음"
"Day 121",bring,"bring breakfast",,"한글 번역 없음"
"Day 121",bring,"bring dinner",,"한글 번역 없음"
"Day 121",bring,"bring lunch",,"한글 번역 없음"
"Day 121",bring,"bring the bill",,"한글 번역 없음"
"Day 121",bring,"bring the book",,"한글 번역 없음"
"Day 121",bring,"bring the drinks",,"한글 번역 없음"
"Day 121",bring,"bring the food",,"한글 번역 없음"
"Day 121",have,"I have milk",,"한글 번역 없음"
"Day 121",have,"have beer",,"한글 번역 없음"
"Day 121",have,"have coffee",,"한글 번역 없음"
"Day 121",have,"have juice",,"한글 번역 없음"
"Day 121",have,"have milk",,"한글 번역 없음"
"Day 121",have,"have soda",,"한글 번역 없음"
"Day 121",have,"have tea",,"한글 번역 없음"
"Day 121",have,"have wine",,"한글 번역 없음"
"Day 121",eat,"I eat the eggs",,"한글 번역 없음"
"Day 121",eat,"eat the banana",,"한글 번역 없음"
"Day 121",eat,"eat the chocolate",,"한글 번역 없음"
"Day 121",eat,"eat the cookie",,"한글 번역 없음"
"Day 121",eat,"eat the dessert",,"한글 번역 없음"
"Day 121",eat,"eat the eggs",,"한글 번역 없음"
"Day 121",eat,"eat the fries",,"한글 번역 없음"
"Day 121",eat,"eat the snack",,"한글 번역 없음"
"Day 122",share,"I share the food",,"한글 번역 없음"
"Day 122",share,"share the apple",,"한글 번역 없음"
"Day 122",share,"share the cake",,"한글 번역 없음"
"Day 122",share,"share the drink",,"한글 번역 없음"
"Day 122",share,"share the food",,"한글 번역 없음"
"Day 122",share,"share the fruit",,"한글 번역 없음"
"Day 122",share,"share the pizza",,"한글 번역 없음"
"Day 122",share,"share the snack",,"한글 번역 없음"
"Day 122",feel,"I feel full",,"한글 번역 없음"
"Day 122",feel,"feel bored",,"한글 번역 없음"
"Day 122",feel,"feel cheerful",,"한글 번역 없음"
"Day 122",feel,"feel excited",,"한글 번역 없음"
"Day 122",feel,"feel full",,"한글 번역 없음"
"Day 122",feel,"feel hungry",,"한글 번역 없음"
"Day 122",feel,"feel interested",,"한글 번역 없음"
"Day 122",feel,"feel tired",,"한글 번역 없음"
"Day 122",enjoy,"I enjoy the meal",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the cake",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the chicken",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the food",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the meal",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the noodles",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the snack",,"한글 번역 없음"
"Day 122",enjoy,"enjoy the steak",,"한글 번역 없음"
"Day 123",sip,"I sip the drink",,"한글 번역 없음"
"Day 123",sip,"sip the coffee",,"한글 번역 없음"
"Day 123",sip,"sip the drink",,"한글 번역 없음"
"Day 123",sip,"sip the juice",,"한글 번역 없음"
"Day 123",sip,"sip the milk",,"한글 번역 없음"
"Day 123",sip,"sip the soup",,"한글 번역 없음"
"Day 123",sip,"sip the tea",,"한글 번역 없음"
"Day 123",sip,"sip the water",,"한글 번역 없음"
"Day 123",have,"I have a refill",,"한글 번역 없음"
"Day 123",have,"have a break",,"한글 번역 없음"
"Day 123",have,"have a drink",,"한글 번역 없음"
"Day 123",have,"have a nap",,"한글 번역 없음"
"Day 123",have,"have a refill",,"한글 번역 없음"
"Day 123",have,"have a refund",,"한글 번역 없음"
"Day 123",have,"have a rest",,"한글 번역 없음"
"Day 123",have,"have a sleep",,"한글 번역 없음"
"Day 123",bite,"I bite the sandwich",,"한글 번역 없음"
"Day 123",bite,"bite the apple",,"한글 번역 없음"
"Day 123",bite,"bite the bread",,"한글 번역 없음"
"Day 123",bite,"bite the burger",,"한글 번역 없음"
"Day 123",bite,"bite the cake",,"한글 번역 없음"
"Day 123",bite,"bite the cookie",,"한글 번역 없음"
"Day 123",bite,"bite the pizza",,"한글 번역 없음"
"Day 123",bite,"bite the sandwich",,"한글 번역 없음"
"Day 124",drink,"I drink the soda",,"한글 번역 없음"
"Day 124",drink,"drink the cider",,"한글 번역 없음"
"Day 124",drink,"drink the coffee",,"한글 번역 없음"
"Day 124",drink,"drink the juice",,"한글 번역 없음"
"Day 124",drink,"drink the milk",,"한글 번역 없음"
"Day 124",drink,"drink the soda",,"한글 번역 없음"
"Day 124",drink,"drink the syrup",,"한글 번역 없음"
"Day 124",drink,"drink the water",,"한글 번역 없음"
"Day 124",propose,"I propose a toast",,"한글 번역 없음"
"Day 124",propose,"propose a change",,"한글 번역 없음"
"Day 124",propose,"propose a deal",,"한글 번역 없음"
"Day 124",propose,"propose a plan",,"한글 번역 없음"
"Day 124",propose,"propose a project",,"한글 번역 없음"
"Day 124",propose,"propose a solution",,"한글 번역 없음"
"Day 124",propose,"propose a toast",,"한글 번역 없음"
"Day 124",propose,"propose an idea",,"한글 번역 없음"
"Day 124",make,"I make a toast",,"한글 번역 없음"
"Day 124",make,"make a choice",,"한글 번역 없음"
"Day 124",make,"make a deal",,"한글 번역 없음"
"Day 124",make,"make a design",,"한글 번역 없음"
"Day 124",make,"make a donation",,"한글 번역 없음"
"Day 124",make,"make a gesture",,"한글 번역 없음"
"Day 124",make,"make a purchase",,"한글 번역 없음"
"Day 124",make,"make a toast",,"한글 번역 없음"
"Day 125",finish,"I finish the meal",,"한글 번역 없음"
"Day 125",finish,"finish the bread",,"한글 번역 없음"
"Day 125",finish,"finish the drink",,"한글 번역 없음"
"Day 125",finish,"finish the food",,"한글 번역 없음"
"Day 125",finish,"finish the ice cream",,"한글 번역 없음"
"Day 125",finish,"finish the meal",,"한글 번역 없음"
"Day 125",finish,"finish the snack",,"한글 번역 없음"
"Day 125",finish,"finish the soup",,"한글 번역 없음"
"Day 125",want,"I want the ice cream",,"한글 번역 없음"
"Day 125",want,"want the bread",,"한글 번역 없음"
"Day 125",want,"want the drink",,"한글 번역 없음"
"Day 125",want,"want the food",,"한글 번역 없음"
"Day 125",want,"want the ice cream",,"한글 번역 없음"
"Day 125",want,"want the meal",,"한글 번역 없음"
"Day 125",want,"want the snack",,"한글 번역 없음"
"Day 125",want,"want the soup",,"한글 번역 없음"
"Day 125",prepare,"I prepare the dessert",,"한글 번역 없음"
"Day 125",prepare,"prepare the coffee",,"한글 번역 없음"
"Day 125",prepare,"prepare the dessert",,"한글 번역 없음"
"Day 125",prepare,"prepare the ingredients",,"한글 번역 없음"
"Day 125",prepare,"prepare the meat",,"한글 번역 없음"
"Day 125",prepare,"prepare the sauce",,"한글 번역 없음"
"Day 125",prepare,"prepare the soup",,"한글 번역 없음"
"Day 125",prepare,"prepare the vegetables",,"한글 번역 없음"
"Day 126",eat,"I eat the ice cream",,"한글 번역 없음"
"Day 126",eat,"eat the chicken",,"한글 번역 없음"
"Day 126",eat,"eat the fish",,"한글 번역 없음"
"Day 126",eat,"eat the food",,"한글 번역 없음"
"Day 126",eat,"eat the fruit",,"한글 번역 없음"
"Day 126",eat,"eat the ice cream",,"한글 번역 없음"
"Day 126",eat,"eat the meat",,"한글 번역 없음"
"Day 126",eat,"eat the vegetables",,"한글 번역 없음"
"Day 126",clear,"I clear the table",,"한글 번역 없음"
"Day 126",clear,"clear the area",,"한글 번역 없음"
"Day 126",clear,"clear the path",,"한글 번역 없음"
"Day 126",clear,"clear the room",,"한글 번역 없음"
"Day 126",clear,"clear the schedule",,"한글 번역 없음"
"Day 126",clear,"clear the sidewalk",,"한글 번역 없음"
"Day 126",clear,"clear the snow",,"한글 번역 없음"
"Day 126",clear,"clear the table",,"한글 번역 없음"
"Day 126",sweep,"I sweep the floor",,"한글 번역 없음"
"Day 126",sweep,"sweep the floor",,"한글 번역 없음"
"Day 126",sweep,"sweep the kitchen",,"한글 번역 없음"
"Day 126",sweep,"sweep the leaves",,"한글 번역 없음"
"Day 126",sweep,"sweep the porch",,"한글 번역 없음"
"Day 126",sweep,"sweep the room",,"한글 번역 없음"
"Day 126",sweep,"sweep the street",,"한글 번역 없음"
"Day 126",sweep,"sweep the yard",,"한글 번역 없음"
"Day 127",fill,"I fill the sink",,"한글 번역 없음"
"Day 127",fill,"fill the bottle",,"한글 번역 없음"
"Day 127",fill,"fill the bowl",,"한글 번역 없음"
"Day 127",fill,"fill the cup",,"한글 번역 없음"
"Day 127",fill,"fill the glass",,"한글 번역 없음"
"Day 127",fill,"fill the room",,"한글 번역 없음"
"Day 127",fill,"fill the sink",,"한글 번역 없음"
"Day 127",fill,"fill the tank",,"한글 번역 없음"
"Day 127",stack,"I stack the plates",,"한글 번역 없음"
"Day 127",stack,"stack the blocks",,"한글 번역 없음"
"Day 127",stack,"stack the books",,"한글 번역 없음"
"Day 127",stack,"stack the boxes",,"한글 번역 없음"
"Day 127",stack,"stack the clothes",,"한글 번역 없음"
"Day 127",stack,"stack the dishes",,"한글 번역 없음"
"Day 127",stack,"stack the goods",,"한글 번역 없음"
"Day 127",stack,"stack the plates",,"한글 번역 없음"
"Day 127",wash,"I wash the dishes",,"한글 번역 없음"
"Day 127",wash,"wash the bowl",,"한글 번역 없음"
"Day 127",wash,"wash the cup",,"한글 번역 없음"
"Day 127",wash,"wash the dishes",,"한글 번역 없음"
"Day 127",wash,"wash the fork",,"한글 번역 없음"
"Day 127",wash,"wash the knife",,"한글 번역 없음"
"Day 127",wash,"wash the plate",,"한글 번역 없음"
"Day 127",wash,"wash the spoon",,"한글 번역 없음"
"Day 128",do,"I do the dishes",,"한글 번역 없음"
"Day 128",do,"do the cleaning",,"한글 번역 없음"
"Day 128",do,"do the cooking",,"한글 번역 없음"
"Day 128",do,"do the dishes",,"한글 번역 없음"
"Day 128",do,"do the ironing",,"한글 번역 없음"
"Day 128",do,"do the laundry",,"한글 번역 없음"
"Day 128",do,"do the math",,"한글 번역 없음"
"Day 128",do,"do the shopping",,"한글 번역 없음"
"Day 128",wash,"I wash neatly",,"한글 번역 없음"
"Day 128",wash,"wash carefully",,"한글 번역 없음"
"Day 128",wash,"wash completely",,"한글 번역 없음"
"Day 128",wash,"wash frequently",,"한글 번역 없음"
"Day 128",wash,"wash lightly",,"한글 번역 없음"
"Day 128",wash,"wash neatly",,"한글 번역 없음"
"Day 128",wash,"wash properly",,"한글 번역 없음"
"Day 128",wash,"wash quickly",,"한글 번역 없음"
"Day 128",dry,"I dry the dishes",,"한글 번역 없음"
"Day 128",dry,"dry the clothes",,"한글 번역 없음"
"Day 128",dry,"dry the dishes",,"한글 번역 없음"
"Day 128",dry,"dry the face",,"한글 번역 없음"
"Day 128",dry,"dry the glass",,"한글 번역 없음"
"Day 128",dry,"dry the hair",,"한글 번역 없음"
"Day 128",dry,"dry the hands",,"한글 번역 없음"
"Day 128",dry,"dry the laundry",,"한글 번역 없음"
"Day 129","clean up","I clean up the house",,"한글 번역 없음"
"Day 129","clean up","clean up the bathroom",,"한글 번역 없음"
"Day 129","clean up","clean up the garden",,"한글 번역 없음"
"Day 129","clean up","clean up the house",,"한글 번역 없음"
"Day 129","clean up","clean up the kitchen",,"한글 번역 없음"
"Day 129","clean up","clean up the mess",,"한글 번역 없음"
"Day 129","clean up","clean up the street",,"한글 번역 없음"
"Day 129","clean up","clean up the toilet",,"한글 번역 없음"
"Day 129",wipe,"I wipe the mirror",,"한글 번역 없음"
"Day 129",wipe,"wipe the board",,"한글 번역 없음"
"Day 129",wipe,"wipe the dishes",,"한글 번역 없음"
"Day 129",wipe,"wipe the face",,"한글 번역 없음"
"Day 129",wipe,"wipe the floor",,"한글 번역 없음"
"Day 129",wipe,"wipe the hands",,"한글 번역 없음"
"Day 129",wipe,"wipe the mirror",,"한글 번역 없음"
"Day 129",wipe,"wipe the table",,"한글 번역 없음"
"Day 129",dust,"I dust the shelves",,"한글 번역 없음"
"Day 129",dust,"dust the blinds",,"한글 번역 없음"
"Day 129",dust,"dust the carpet",,"한글 번역 없음"
"Day 129",dust,"dust the furniture",,"한글 번역 없음"
"Day 129",dust,"dust the room",,"한글 번역 없음"
"Day 129",dust,"dust the shelves",,"한글 번역 없음"
"Day 129",dust,"dust the table",,"한글 번역 없음"
"Day 129",dust,"dust the window",,"한글 번역 없음"
"Day 130","look around","I look around the corner",,"한글 번역 없음"
"Day 130","look around","look around the corner",,"한글 번역 없음"
"Day 130","look around","look around the course",,"한글 번역 없음"
"Day 130","look around","look around the exhibition",,"한글 번역 없음"
"Day 130","look around","look around the gallery",,"한글 번역 없음"
"Day 130","look around","look around the hotel",,"한글 번역 없음"
"Day 130","look around","look around the isalnd",,"한글 번역 없음"
"Day 130","look around","look around the surroundings",,"한글 번역 없음"
"Day 130",collect,"I collect the garbage",,"한글 번역 없음"
"Day 130",collect,"collect the garbage",,"한글 번역 없음"
"Day 130",collect,"collect the information",,"한글 번역 없음"
"Day 130",collect,"collect the notes",,"한글 번역 없음"
"Day 130",collect,"collect the receipts",,"한글 번역 없음"
"Day 130",collect,"collect the rubbish",,"한글 번역 없음"
"Day 130",collect,"collect the stamps",,"한글 번역 없음"
"Day 130",collect,"collect the trash",,"한글 번역 없음"
"Day 130",remove,"I remove the trash",,"한글 번역 없음"
"Day 130",remove,"remove the cover",,"한글 번역 없음"
"Day 130",remove,"remove the glasses",,"한글 번역 없음"
"Day 130",remove,"remove the makeup",,"한글 번역 없음"
"Day 130",remove,"remove the mask",,"한글 번역 없음"
"Day 130",remove,"remove the sticker",,"한글 번역 없음"
"Day 130",remove,"remove the tag",,"한글 번역 없음"
"Day 130",remove,"remove the trash",,"한글 번역 없음"
"Day 131","take out","I take out the trash",,"한글 번역 없음"
"Day 131","take out","take out food",,"한글 번역 없음"
"Day 131","take out","take out the bin",,"한글 번역 없음"
"Day 131","take out","take out the garbage",,"한글 번역 없음"
"Day 131","take out","take out the hamburger",,"한글 번역 없음"
"Day 131","take out","take out the pizza",,"한글 번역 없음"
"Day 131","take out","take out the rubbish",,"한글 번역 없음"
"Day 131","take out","take out the trash",,"한글 번역 없음"
"Day 131",open,"I open slowly",,"한글 번역 없음"
"Day 131",open,"open carefully",,"한글 번역 없음"
"Day 131",open,"open fully",,"한글 번역 없음"
"Day 131",open,"open quickly",,"한글 번역 없음"
"Day 131",open,"open quietly",,"한글 번역 없음"
"Day 131",open,"open slowly",,"한글 번역 없음"
"Day 131",open,"open suddenly",,"한글 번역 없음"
"Day 131",open,"open widely",,"한글 번역 없음"
"Day 131",empty,"I empty the bin",,"한글 번역 없음"
"Day 131",empty,"empty the bag",,"한글 번역 없음"
"Day 131",empty,"empty the basket",,"한글 번역 없음"
"Day 131",empty,"empty the bin",,"한글 번역 없음"
"Day 131",empty,"empty the box",,"한글 번역 없음"
"Day 131",empty,"empty the drawer",,"한글 번역 없음"
"Day 131",empty,"empty the pocket",,"한글 번역 없음"
"Day 131",empty,"empty the trash",,"한글 번역 없음"
"Day 132",discover,"I discover the restaurant",,"한글 번역 없음"
"Day 132",discover,"discover the fact",,"한글 번역 없음"
"Day 132",discover,"discover the place",,"한글 번역 없음"
"Day 132",discover,"discover the restaurant",,"한글 번역 없음"
"Day 132",discover,"discover the route",,"한글 번역 없음"
"Day 132",discover,"discover the secret",,"한글 번역 없음"
"Day 132",discover,"discover the truth",,"한글 번역 없음"
"Day 132",discover,"discover the way",,"한글 번역 없음"
"Day 132","stand in","I stand in a line",,"한글 번역 없음"
"Day 132","stand in","stand in a circle",,"한글 번역 없음"
"Day 132","stand in","stand in a line",,"한글 번역 없음"
"Day 132","stand in","stand in a queue",,"한글 번역 없음"
"Day 132","stand in","stand in a ring",,"한글 번역 없음"
"Day 132","stand in","stand in a row",,"한글 번역 없음"
"Day 132","stand in","stand in line",,"한글 번역 없음"
"Day 132","stand in","stand in queue",,"한글 번역 없음"
"Day 132",wait,"I wait patiently",,"한글 번역 없음"
"Day 132",wait,"wait anxiously",,"한글 번역 없음"
"Day 132",wait,"wait eagerly",,"한글 번역 없음"
